Date,Open,High,Low,Close,Volume
2016-07-21,146.0100,146.2200,144.1900,144.3500,3212200
2016-07-22,144.7200,144.8500,143.8900,144.6000,3142000
2016-07-25,144.8700,145.0000,143.6000,144.1400,2483900
2016-07-26,144.3400,144.8500,143.8300,144.3400,2466400
2016-07-27,144.2700,144.7500,143.7000,144.1900,2611700
2016-07-28,143.9200,144.6900,143.4800,144.4200,1944600
2016-07-29,144.0900,144.6000,143.7800,144.2700,2589300
2016-08-01,144.6200,144.7700,143.5800,143.9300,2051300
2016-08-02,143.9500,143.9900,142.9600,143.3100,2457000
2016-08-03,143.3500,143.8800,142.9800,143.6300,2217100
2016-08-04,143.8000,143.9100,142.9200,143.1200,1848600
2016-08-05,144.0000,145.6500,143.9200,145.6500,3926000
2016-08-08,145.2900,145.6500,144.2300,145.5600,3516300
2016-08-09,145.9600,147.4500,145.4500,147.2200,3680500
2016-08-10,147.0000,147.2700,146.1300,146.6900,2465200
2016-08-11,146.4600,147.9800,146.4400,147.7400,3272200
2016-08-12,147.1200,147.7500,146.6900,147.7200,2586700
2016-08-15,147.7200,147.9200,147.1200,147.7800,2195800
2016-08-16,147.6200,147.9500,147.2200,147.2400,2121300
2016-08-17,147.4200,149.3300,147.0000,149.0800,3044200
2016-08-18,149.1900,149.3600,148.5300,148.8100,2185400
2016-08-19,148.4000,148.8400,147.7900,148.7500,2641200
2016-08-22,148.5100,148.8000,147.8500,148.4500,1765000
2016-08-23,148.5800,149.2400,148.5800,148.7700,2019100
2016-08-24,148.5000,148.8400,148.1300,148.4100,2269400
2016-08-25,148.2400,148.7100,148.1100,148.6400,2449700
2016-08-26,148.6500,149.2300,147.2200,147.9100,2872800
2016-08-29,148.2300,149.6800,148.0000,149.3000,2726600
2016-08-30,149.2500,150.2400,149.2300,150.2300,2832200
2016-08-31,150.0000,150.9000,148.6600,150.4900,5338700
2016-09-01,150.7000,151.0000,148.8200,150.3500,3020800
2016-09-02,150.6900,151.0500,149.9700,150.7200,2258200
2016-09-06,150.5400,150.9800,149.3100,150.4300,4460800
2016-09-07,150.0000,150.4900,149.3400,149.5800,2437100
2016-09-08,149.6000,150.1000,149.3000,149.7800,2963400
2016-09-09,149.1000,149.5900,146.5600,146.6200,4342700
2016-09-12,146.3700,149.3900,145.9400,148.9700,4323800
2016-09-13,147.9500,148.1300,145.5500,146.2300,5505900
2016-09-14,146.0200,146.9100,145.3300,145.7800,3097300
2016-09-15,146.0000,147.0800,145.4700,146.6600,3255500
2016-09-16,146.1100,146.2300,144.6800,145.0100,11133700
2016-09-19,145.3400,146.1900,144.9300,145.2400,3031800
2016-09-20,145.9800,145.9800,144.7600,144.9200,2367000
2016-09-21,145.6500,146.4900,144.9800,146.4600,3768900
2016-09-22,146.7500,147.0900,146.1300,146.5300,2770900
2016-09-23,146.3000,146.4900,145.0000,145.0000,3697800
2016-09-26,144.5200,144.9600,144.0000,144.1800,2863700
2016-09-27,144.2800,145.3800,144.0100,145.3400,2934600
2016-09-28,145.2800,145.4200,144.0300,145.2800,3246500
2016-09-29,145.1800,145.5200,143.3600,143.5900,3313800
2016-09-30,144.2700,145.3800,144.2700,144.4700,4416500
2016-10-03,144.2700,144.3100,143.2100,143.7600,3493800
2016-10-04,143.7400,144.2000,142.8000,143.1700,3058900
2016-10-05,143.6500,144.2900,143.2100,144.1500,2998800
2016-10-06,144.0000,144.1000,143.3000,143.8700,2279500
2016-10-07,143.9300,144.9400,143.7800,144.5200,3093800
2016-10-10,145.0500,145.6800,144.9800,145.2000,1884100
2016-10-11,145.1300,145.1400,143.5300,143.9500,2723000
2016-10-12,143.8600,145.2900,143.8600,144.9100,2558100
2016-10-13,143.7900,144.0500,141.9200,143.2200,4657600
2016-10-14,143.9100,144.8900,143.5800,144.1800,2932800
2016-10-17,144.5000,144.7600,143.3700,143.8000,2552800
2016-10-18,144.6500,145.0900,144.1300,144.3000,2378500
2016-10-19,144.8700,145.7100,144.4800,144.8600,2309300
2016-10-20,144.6200,145.4300,144.1900,144.4900,2505000
2016-10-21,143.5400,143.9500,142.8000,143.6000,3075400
2016-10-24,144.0900,144.8900,143.6800,143.8300,2223800
2016-10-25,143.7000,144.1600,143.2100,143.4200,2349500
2016-10-26,143.3800,144.4600,143.1200,143.9400,2769700
2016-10-27,144.1900,144.7800,143.8700,144.4500,2914800
2016-10-28,144.8400,145.2900,142.9000,144.0000,2789900
2016-10-31,144.3000,144.6900,144.0000,144.3000,3229500
2016-11-01,144.6800,144.8600,143.1100,143.6300,3339400
2016-11-02,143.1800,143.8600,142.9100,143.1900,3178500
2016-11-03,143.2500,144.4500,143.2000,143.6400,2691800
2016-11-04,143.4500,143.8000,142.3500,142.9500,3493300
2016-11-07,144.7100,147.1700,144.3000,146.9100,5236000
2016-11-08,146.8900,148.1400,146.4000,147.7900,3636000
2016-11-09,146.1000,151.6400,145.1000,151.2800,8687800
2016-11-10,152.0000,156.6100,151.6800,156.0600,8142500
2016-11-11,155.3000,157.2800,155.1500,156.9200,4514400
2016-11-14,157.4800,158.1600,156.5300,157.9300,5520400
2016-11-15,157.6100,157.8200,156.0900,157.4600,4780100
2016-11-16,157.0200,157.5900,156.0200,157.0800,4468900
2016-11-17,156.8100,158.6400,156.3000,158.3900,4169100
2016-11-18,158.3500,158.4800,157.1700,157.7500,3383300
2016-11-21,158.1000,158.7100,157.4200,158.7100,2847400
