Date,Open,High,Low,Close,Volume
2019-06-08,8036.7749,8076.8911,7837.6108,7954.1279,16522722810
2019-06-09,7949.6748,7975.9741,7583.2197,7688.0771,16610726547
2019-06-10,7692.2847,8031.9097,7586.7310,8000.3296,18689275117
2019-06-11,8004.2437,8026.3940,7772.8037,7927.7144,17107279932
2019-06-12,7925.4341,8196.6484,7862.3599,8145.8574,19034432883
2019-06-13,8145.5454,8311.5674,8087.0610,8230.9238,18669407147
2019-06-14,8230.8984,8710.6367,8183.3931,8693.8330,19831162906
2019-06-15,8689.7461,8859.1279,8618.3955,8838.3750,18371033226
2019-06-16,8841.4404,9335.8672,8814.5566,8994.4883,23348550311
2019-06-17,8988.9238,9416.4072,8988.9238,9320.3525,15562951919
2019-06-18,9335.4668,9348.3740,9004.9014,9081.7627,15848210536
2019-06-19,9078.7275,9299.6211,9070.3955,9273.5215,15546809946
2019-06-20,9273.0605,9594.4199,9232.4844,9527.1602,17846823784
2019-06-21,9525.0742,10144.5566,9525.0742,10144.5566,20624008643
2019-06-22,10175.9238,11157.3457,10107.0352,10701.6914,29995204861
2019-06-23,10696.6914,11246.1445,10556.0957,10855.3711,20998326502
2019-06-24,10853.7441,11065.8965,10610.4277,11011.1025,19271652365
2019-06-25,11007.2021,11790.9170,11007.2021,11790.9170,24879684533
2019-06-26,11778.5811,13796.4893,11755.5977,13016.2314,45105733173
2019-06-27,13017.1250,13311.1445,10491.8525,11182.8066,39977475223
2019-06-28,11162.1680,12445.1748,10914.4951,12407.3320,35087757766
2019-06-29,12400.7637,12400.9102,11508.3789,11959.3711,29923961128
2019-06-30,11931.9912,12178.3838,10799.0088,10817.1553,27256473494
2019-07-01,10796.9307,11206.4395,10089.3145,10583.1348,29378589324
2019-07-02,10588.6836,10912.1885,9737.8848,10801.6777,31015895223
2019-07-03,10818.1562,11968.0781,10818.1562,11961.2695,30796494294
2019-07-04,11972.7188,12006.0752,11166.5693,11215.4375,25920294033
2019-07-05,11203.1025,11395.6611,10874.9648,10978.4600,23838480210
2019-07-06,10982.5439,11620.9648,10982.5439,11208.5508,21092024306
2019-07-07,11217.6162,11541.6201,11148.8047,11450.8467,19369044277
2019-07-08,11446.5967,12345.8330,11393.3740,12285.9580,23482551458
2019-07-09,12284.3262,12779.1318,12233.2617,12573.8125,28167921523
2019-07-10,12571.5371,13129.5293,11710.9785,12156.5127,33627574244
