Date,Open,High,Low,Close,Volume
2016-07-21,90.4511,91.3357,89.9444,90.3037,6726600
2016-07-22,90.6538,90.6815,89.8062,90.0273,5381700
2016-07-25,90.2024,90.3498,89.6035,89.7325,4825500
2016-07-26,89.3916,89.5206,88.7650,89.0875,6274800
2016-07-27,89.0967,89.3086,88.3228,88.7558,6911400
2016-07-28,88.8203,88.9032,88.2859,88.3688,7713500
2016-07-29,88.3136,88.8019,88.3136,88.4057,8264000
2016-08-01,88.5900,88.6360,87.6041,88.0279,7131600
2016-08-02,87.8529,88.2214,87.1250,87.5396,7644100
2016-08-03,87.5857,88.8480,87.5304,88.5347,9068700
2016-08-04,88.0187,88.4333,87.2632,87.6778,10038300
2016-08-05,87.8990,88.4518,87.8529,88.2951,6528500
2016-08-08,88.5531,88.7190,88.0648,88.2214,7792000
2016-08-09,88.0924,89.2349,87.8068,89.0691,15548700
2016-08-10,89.0967,91.4646,88.3136,90.1655,27181300
2016-08-11,90.4788,90.6538,89.5113,90.0826,9233900
2016-08-12,90.1287,90.1287,89.0599,89.2257,9360300
2016-08-15,89.6956,89.9352,89.2994,89.4653,5299600
2016-08-16,89.2441,89.6035,88.7005,89.2626,5777800
2016-08-17,89.2257,89.3455,88.9309,89.2534,5697300
2016-08-18,89.2534,89.4837,88.9585,89.0507,5250700
2016-08-19,88.8203,89.1796,88.4978,88.8111,6362400
2016-08-22,88.8848,88.8848,88.1293,88.3320,5495300
2016-08-23,88.5715,88.8480,88.2675,88.4241,4996300
2016-08-24,88.4610,88.6545,88.0003,88.2859,5912500
2016-08-25,88.1016,88.2859,87.9082,88.0371,4518700
2016-08-26,88.1385,88.5715,87.3001,87.7239,6019600
2016-08-29,87.5949,87.8252,87.0328,87.4106,7903000
2016-08-30,87.3185,87.7976,87.3185,87.4014,6845000
2016-08-31,87.2448,87.4383,86.7564,87.0328,7375200
2016-09-01,87.2816,87.4106,86.5261,86.8486,6274200
2016-09-02,87.3000,87.4935,86.7288,86.9960,5382000
2016-09-06,87.0974,87.0974,86.0101,86.4248,8463500
2016-09-07,86.5906,86.6367,85.9917,86.3418,6281500
2016-09-08,86.1391,86.8025,85.6232,86.6919,7438100
2016-09-09,86.1576,86.3695,85.1256,85.1533,10248400
2016-09-12,84.7294,86.4800,84.7202,86.2773,9367300
2016-09-13,85.7245,85.9641,85.1809,85.4112,7795200
2016-09-14,85.3099,85.5863,84.8308,85.0058,6386500
2016-09-15,84.8768,85.4573,84.0200,85.2270,7559400
2016-09-16,85.0150,85.4481,84.5820,85.2822,10568600
2016-09-19,85.5034,85.9825,85.0795,85.3467,5421500
2016-09-20,85.4112,85.9641,85.3928,85.6416,6200100
2016-09-21,85.6876,85.7614,84.4899,85.1256,12049500
2016-09-22,85.4389,86.3418,85.3560,86.0654,6470700
2016-09-23,85.7521,86.1668,85.6876,85.9364,4407700
2016-09-26,85.1993,85.3928,84.2135,84.7294,10449300
2016-09-27,84.7018,84.9321,84.3056,84.5083,9167400
2016-09-28,84.5359,85.0427,84.2871,84.9505,8272300
2016-09-29,84.8953,85.7798,84.3332,84.5820,7476600
2016-09-30,85.0243,86.1391,84.9598,85.5587,8923700
2016-10-03,85.1993,85.4297,84.8123,85.2177,5834700
2016-10-04,85.1809,85.6784,84.8676,85.3099,5903400
