Date,Open,High,Low,Close,Volume
2016-07-21,105.8768,106.3974,105.2063,105.4357,19018700
2016-07-22,105.4975,106.4415,105.2946,106.2209,17796100
2016-07-25,106.0003,106.2738,105.6563,106.0621,13694600
2016-07-26,106.0444,106.7238,105.7974,106.5738,19551100
2016-07-27,106.7503,107.1649,106.1768,106.8738,21064700
2016-07-28,106.6444,106.9620,106.3356,106.6003,16540100
2016-07-29,106.4944,107.4207,105.9121,106.8120,30267900
2016-08-01,106.9267,107.3678,106.2562,106.9002,34771700
2016-08-02,106.8914,106.9355,105.0740,105.4093,28691000
2016-08-03,105.3122,106.3091,105.0740,106.2650,17830300
2016-08-04,106.2650,106.9179,106.0974,106.3621,17526700
2016-08-05,107.0502,108.1442,106.7238,107.8972,28643400
2016-08-08,107.9413,108.3824,107.6589,107.8442,14625700
2016-08-09,107.8707,108.1883,107.7560,107.9589,12487700
2016-08-10,107.9677,108.1618,106.8826,107.1825,19138100
2016-08-11,107.6589,107.9854,107.2531,107.6942,21144600
2016-08-12,107.4825,108.0383,107.3061,107.8001,12251200
2016-08-15,108.0383,109.1234,108.0118,108.8676,22048000
2016-08-16,108.5853,108.6206,107.8618,107.9853,20244300
2016-08-17,108.0206,108.0736,107.0414,107.6678,20632600
2016-08-18,107.7030,108.4882,107.6678,108.4618,16244600
2016-08-19,108.3118,108.5765,107.8795,108.4618,17379500
2016-08-22,108.2324,108.8147,107.9236,108.7088,16929700
2016-08-23,109.0529,109.8028,109.0529,109.4675,21539400
2016-08-24,109.3440,109.6175,108.3118,108.5765,21533400
2016-08-25,108.1795,109.1235,108.1706,108.7882,17023200
2016-08-26,108.9117,109.7587,107.8972,108.5677,26734400
2016-08-29,108.7529,109.5470,108.7265,109.1323,14013900
2016-08-30,109.2470,109.5469,108.8500,109.3352,14031300
2016-08-31,109.2029,109.2999,108.1177,108.7176,29236300
2016-09-01,108.8147,109.0705,107.6501,108.7970,22964700
2016-09-02,109.4058,109.8645,109.0705,109.8469,23083300
2016-09-06,110.2086,110.2527,109.3705,109.9527,13711000
2016-09-07,109.8822,110.6674,109.8204,110.6409,17830500
2016-09-08,110.5527,110.6409,110.0762,110.4203,16265500
2016-09-09,109.5557,109.5822,106.9355,106.9708,54239000
2016-09-12,106.4767,108.4882,106.3797,108.4618,33408100
2016-09-13,107.6854,107.7737,105.7622,106.3797,47536200
2016-09-14,106.5473,107.1649,106.1239,106.3973,30545500
2016-09-15,106.4679,107.8001,106.3179,107.6678,29499800
2016-09-16,107.6678,107.6678,106.8385,107.5090,31940500
2016-09-19,107.9148,108.9999,107.6237,108.2236,22807000
2016-09-20,108.6911,108.7176,107.7648,107.7648,16877900
2016-09-21,108.1442,109.3705,107.7207,109.3264,30784700
2016-09-22,110.0410,110.9850,109.9792,110.8967,36287700
2016-09-23,110.7732,111.0555,110.1115,110.1115,26118000
2016-09-26,109.5224,109.8497,108.9031,109.0181,20028000
2016-09-27,108.9650,109.5931,108.6465,109.4604,16939500
2016-09-28,109.6551,110.3716,108.8766,110.3009,19426400
2016-09-29,110.2478,110.2655,108.5492,108.6908,26657700
2016-09-30,109.1862,110.3893,108.6908,109.8851,31764500
2016-10-03,109.5489,109.7877,108.9296,109.5400,18674300
2016-10-04,109.7170,109.9735,108.5050,109.0004,26057300
2016-10-05,109.4250,110.3009,109.3896,109.6550,24317300
2016-10-06,109.4781,109.7170,108.6554,109.5400,18937100
2016-10-07,109.7347,109.9824,108.1334,108.6642,28732700
2016-10-10,108.6642,110.3540,108.6642,109.9647,21481700
2016-10-11,109.7435,109.7966,107.3461,107.9565,31931300
2016-10-12,108.0096,108.4696,107.5142,107.8680,20210400
2016-10-13,107.0364,107.4080,106.2579,106.9745,26302500
2016-10-14,107.3638,107.7884,106.5145,106.5410,24554600
2016-10-17,106.6737,106.9126,106.3021,106.4172,17119500
2016-10-18,107.5053,107.5584,106.7445,107.0276,19158900
2016-10-19,107.1957,107.8857,106.6030,107.4788,18477400
2016-10-20,107.1691,107.9299,106.5233,107.1603,20485600
2016-10-21,106.3906,107.3726,106.2491,107.1072,21093700
2016-10-24,107.9653,108.4696,107.4434,107.7884,15421600
2016-10-25,107.7619,107.9211,106.6914,106.9834,16459800
2016-10-26,106.2579,107.0453,105.6829,105.9217,24975300
2016-10-27,106.2668,106.2845,104.4709,104.7097,29525700
2016-10-28,104.6655,105.3025,104.1701,104.4178,35473700
2016-10-31,104.5505,104.9574,104.2143,104.8336,20311800
2016-11-01,104.9751,105.0105,102.8696,103.5508,34147200
2016-11-02,103.3916,103.5066,102.0823,102.2327,29859900
2016-11-03,102.5423,102.8343,101.6311,101.7373,22717500
2016-11-04,102.0027,103.4181,101.7815,102.3919,35237200
2016-11-07,104.3913,105.1167,104.1347,104.8955,32370900
2016-11-08,104.6567,105.6829,104.1347,105.1698,26196800
2016-11-09,104.4621,108.6642,104.4355,108.4077,77416800
