Date,Open,High,Low,Close,Volume
2016-07-21,49.2109,49.3493,48.9264,48.9725,9808700
2016-07-22,49.1340,49.2801,48.9033,49.2416,8195700
2016-07-25,49.1955,49.3416,48.9648,49.1109,8168300
2016-07-26,49.1955,49.4108,48.9879,49.3108,8067800
2016-07-27,49.2724,49.7414,49.2570,49.4646,11806800
2016-07-28,49.2109,49.3570,48.9956,49.2878,10013400
2016-07-29,49.0571,49.4338,49.0186,49.1878,13210400
2016-08-01,49.3262,49.4492,48.9110,49.0571,11422600
2016-08-02,48.8956,49.2186,48.7341,48.9417,13550000
2016-08-03,48.9725,49.7260,48.9417,49.7184,13122300
2016-08-04,49.5876,49.8414,49.4185,49.6415,9873000
2016-08-05,50.0874,51.0332,50.0336,50.9794,20752700
2016-08-08,50.8025,51.1255,50.6257,50.8256,11359200
2016-08-09,50.8871,50.9640,50.5103,50.6488,10097000
2016-08-10,50.6872,50.8025,50.1028,50.1951,11556100
2016-08-11,50.1874,50.5104,49.9952,50.3335,9604500
2016-08-12,49.9567,50.2489,49.8721,50.2258,7685400
2016-08-15,50.4104,50.6180,50.3335,50.5334,8371600
2016-08-16,50.2566,50.7179,50.1643,50.5257,10128900
2016-08-17,50.5949,50.7333,50.3950,50.6641,11868100
2016-08-18,50.4565,50.7410,50.3873,50.7103,9313600
2016-08-19,50.5334,50.6795,50.1490,50.6411,9084900
2016-08-22,50.5565,50.6564,50.2951,50.5949,9055600
2016-08-23,50.8025,51.0101,50.5642,50.5719,8949600
2016-08-24,50.7410,50.9256,50.5718,50.7103,10167200
2016-08-25,50.6795,50.8563,50.5872,50.8025,9978700
2016-08-26,51.0025,51.4254,50.6334,50.9179,14038600
2016-08-29,51.1255,51.5945,51.1024,51.4792,14583100
2016-08-30,51.4792,51.9790,51.4792,51.9021,13791200
2016-08-31,51.8713,52.1097,51.4100,51.9021,14952300
2016-09-01,52.0097,52.0712,51.2485,51.6791,12226500
2016-09-02,51.8252,51.9636,51.5023,51.8944,13720700
2016-09-06,51.9021,51.9405,51.2946,51.8559,16649400
2016-09-07,51.6407,51.9713,51.4869,51.6407,10070400
2016-09-08,51.6868,52.0405,51.5176,51.7099,12253000
2016-09-09,51.5407,51.8483,51.2408,51.2485,19686900
2016-09-12,50.8564,51.7483,50.5642,51.5638,16453000
2016-09-13,50.8333,51.4100,50.6103,51.1562,18876100
2016-09-14,50.9563,51.7098,50.9102,51.0563,12648600
2016-09-15,50.9717,51.4638,50.8179,51.2408,12531300
2016-09-16,50.8179,50.9486,50.3181,50.6103,25161500
2016-09-19,50.8640,51.2408,50.6334,50.8948,13466900
2016-09-20,51.3254,51.4023,50.9332,51.1024,10092200
2016-09-21,51.3946,51.6176,50.9871,51.3946,14116800
2016-09-22,51.5099,51.8406,51.3946,51.8175,12781700
2016-09-23,51.8175,52.2097,51.6560,51.7099,13967400
2016-09-26,51.2101,51.3639,50.3950,50.5796,16408100
2016-09-27,50.2950,51.0640,50.0644,51.0255,13711400
2016-09-28,51.1947,51.3408,50.7410,51.2946,11278000
2016-09-29,51.2869,51.6791,50.2489,50.4796,18727200
2016-09-30,50.8102,51.5638,50.8102,51.2024,21680100
2016-10-03,51.0178,51.4561,50.9486,51.1409,14901700
2016-10-04,51.2803,52.0315,51.1951,51.5823,17226900
2016-10-05,51.8069,52.7209,51.7372,52.4266,16280000
2016-10-06,52.4575,52.6434,51.9309,52.5660,17485000
2016-10-07,52.5040,52.8061,52.2020,52.7519,18497000
2016-10-10,52.9300,53.4876,52.8448,53.1623,13027500
2016-10-11,53.0539,53.3017,52.6124,52.9067,15657100
2016-10-12,52.8680,53.1236,52.7054,52.7673,11899800
2016-10-13,52.2484,52.5659,51.7527,52.4652,17890000
2016-10-14,53.2863,53.4644,52.1245,52.2949,24163800
2016-10-17,52.2174,52.5040,51.6908,52.0238,14963400
2016-10-18,52.5504,52.8293,52.3104,52.4343,11870300
2016-10-19,52.5195,53.0539,52.5195,52.9377,12705800
2016-10-20,52.7286,53.1933,52.6202,52.8680,14122000
2016-10-21,52.5195,53.0771,52.4343,53.0462,12175700
2016-10-24,53.4179,53.4799,53.0539,53.3405,10197100
2016-10-25,53.3482,53.3869,52.9609,53.2862,9945100
2016-10-26,52.9532,53.6348,52.9532,53.5418,9801300
2016-10-27,53.8207,54.0375,53.5186,53.6193,14210700
2016-10-28,53.8516,53.8671,53.0307,53.5264,12766500
2016-10-31,53.7742,53.8904,53.6193,53.6425,14336300
2016-11-01,53.8129,54.0453,52.9222,53.4179,15564500
2016-11-02,53.1701,53.3250,52.6744,53.1933,12449800
2016-11-03,53.3327,53.5883,52.8370,52.9609,10369700
2016-11-04,53.0461,53.1004,52.3878,52.4808,13571300
2016-11-07,53.5031,54.1924,53.4412,54.1227,16515100
2016-11-08,53.9833,54.6416,53.6270,54.2389,17531700
2016-11-09,55.3464,57.4299,55.2380,56.7328,50948400
2016-11-10,57.4841,59.8308,57.4841,59.3661,56192300
2016-11-11,59.0951,59.4204,58.6846,59.3971,27574300
2016-11-14,59.8308,62.3015,59.8308,61.5812,46130700
2016-11-15,60.6983,61.5038,60.2413,61.4650,28126300
2016-11-16,60.5821,60.6828,59.5443,59.9470,26054900
2016-11-17,60.3575,60.7680,60.1019,60.4272,19306700
2016-11-18,60.3807,60.7370,60.0632,60.1871,19770000
2016-11-21,60.4117,60.5434,59.8618,60.4504,11983500
2016-11-22,60.6828,60.8454,60.2258,60.8222,14410100
2016-11-23,61.0856,61.3721,60.3265,61.0778,13373700
2016-11-25,61.2637,61.5348,60.7757,61.0546,6185700
2016-11-28,60.5512,61.0856,60.4272,60.6596,13007200
2016-11-29,60.7138,61.3102,60.7138,61.1243,14144100
2016-11-30,61.8988,62.3712,61.7284,62.0924,25351900
2016-12-01,62.4642,63.7266,62.4642,63.3471,23823600
2016-12-02,63.3549,63.3781,62.6578,63.2000,16931500
2016-12-05,63.7421,64.5089,63.7344,64.4857,18529800
2016-12-06,64.7490,64.9116,63.8428,64.8187,16130000
2016-12-07,64.7103,65.1285,64.1681,65.1130,18996900
2016-12-08,65.2369,66.2206,65.0123,65.9262,20844900
2016-12-09,65.8488,66.2205,65.1672,66.2128,14567200
2016-12-12,66.1121,66.4451,65.2834,65.6242,14511300
2016-12-13,65.8178,66.3522,64.9194,65.6474,16669000
2016-12-14,64.9658,66.7007,64.8729,65.6242,22622600
2016-12-15,66.1431,66.9873,65.7559,66.6078,19438900
2016-12-16,66.8324,66.8324,65.7481,65.7868,23008500
2016-12-19,65.6784,66.1741,65.2060,66.1664,21685100
2016-12-20,66.4452,67.0261,66.2593,67.0183,14587300
2016-12-21,66.9409,67.2352,66.6311,67.1887,11400500
2016-12-22,66.9486,67.5140,66.7705,67.2971,13924200
2016-12-23,67.3823,67.4985,66.9176,67.4211,10759400
2016-12-27,67.4211,67.5062,67.1887,67.4830,6946400
2016-12-28,67.5062,67.6844,66.8789,66.9950,9455600
2016-12-29,67.0570,67.1267,65.8643,66.5226,14689000
2016-12-30,66.6853,66.9331,66.3445,66.8324,13617800
2017-01-03,67.6456,67.9709,66.5923,67.5604,20550700
2017-01-04,67.7240,67.8953,67.2879,67.6851,15266600
2017-01-05,67.6072,67.8408,66.4000,67.0620,14300800
2017-01-06,67.2801,67.4592,66.9296,67.0698,12893300
2017-01-09,66.7661,67.5760,66.6025,67.1166,12806600
2017-01-10,67.0309,67.6773,66.7583,67.3112,13989000
2017-01-11,67.3112,67.8175,66.9063,67.8175,14713100
2017-01-12,67.5682,67.9654,66.9919,67.1633,21337400
2017-01-13,67.8408,68.6663,67.0542,67.5215,28296000
2017-01-17,66.1431,66.3689,64.8581,65.0683,30024600
2017-01-18,65.1306,65.5979,64.6633,65.3720,21270100
2017-01-19,65.4655,65.9405,64.7334,64.8736,16555600
2017-01-20,64.9749,65.2864,64.8658,65.1618,18436800
2017-01-23,64.8736,65.4188,64.8035,65.1929,12179200
2017-01-24,65.3565,66.1976,65.0761,65.9795,15175300
2017-01-25,66.8518,67.1088,66.3300,66.9997,17551000
2017-01-26,66.9374,67.7162,66.9374,67.5605,15962800
2017-01-27,67.4904,67.7396,67.1866,67.7006,12535400
2017-01-30,67.1243,67.3658,66.4468,66.9997,13661900
2017-01-31,66.6648,67.0932,65.4889,65.9094,15655100
2017-02-01,66.6181,67.0543,65.9484,66.1586,15430900
2017-02-02,65.6836,66.1275,65.5434,65.8783,11081400
2017-02-03,67.1243,67.9966,66.8751,67.8953,17885200
2017-02-06,67.5916,68.1056,67.4514,67.5760,11828400
2017-02-07,67.8642,68.0667,67.3502,67.5371,9392800
2017-02-08,67.1165,67.2178,66.4857,66.9452,13970900
2017-02-09,66.9452,68.0121,66.9452,67.9109,13749100
2017-02-10,68.1290,68.1290,67.6695,67.7551,10992500
2017-02-13,68.0978,69.1103,68.0901,68.6508,18739100
2017-02-14,68.7676,69.8579,68.6196,69.7489,17932100
2017-02-15,70.1538,70.7691,69.5853,70.5510,17381800
2017-02-16,70.4030,70.9015,69.9124,70.5043,17672700
2017-02-17,69.9514,70.4576,69.8501,70.2707,15776600
2017-02-21,70.4887,70.9872,70.4498,70.8781,14068300
2017-02-22,70.4965,71.1040,70.4186,70.9170,11839000
2017-02-23,71.0105,71.1351,70.4965,70.9716,11067000
2017-02-24,70.2317,70.5121,69.8813,70.3485,15062300
2017-02-27,70.3407,70.6600,70.1071,70.4264,12361000
2017-02-28,69.9747,70.7301,69.7722,70.5744,15183500
2017-03-01,72.2644,73.1911,72.1242,72.8952,24451400
2017-03-02,73.1055,73.1444,71.6725,71.7582,16862500
2017-03-03,71.7582,72.5136,71.7582,72.2722,12817500
2017-03-06,71.8438,71.8983,70.9482,71.5868,15059200
2017-03-07,71.3688,71.7192,71.0339,71.1896,11156800
2017-03-08,72.1787,72.3111,70.9482,71.0339,17378400
2017-03-09,71.3376,71.7581,70.9871,71.3142,13726200
2017-03-10,71.6102,71.6491,70.5043,71.0884,13729900
2017-03-13,71.1117,71.4778,70.8158,71.1507,10004300
2017-03-14,70.8859,71.3766,70.6912,71.2675,10237700
2017-03-15,71.4934,72.0775,70.9716,71.4389,16601400
2017-03-16,71.6725,72.2800,71.3143,71.3688,14492000
2017-03-17,71.5167,71.6803,70.5978,70.6211,21734700
2017-03-20,70.3018,71.0027,69.9280,70.1149,14623600
2017-03-21,70.3719,70.5900,67.8019,68.0589,33089200
2017-03-22,67.6695,68.5885,66.9842,68.1679,21741000
2017-03-23,67.9187,68.9234,67.8253,68.0589,16090100
2017-03-24,68.3704,68.6040,67.5760,67.9810,16093200
2017-03-27,66.6103,68.0667,66.3767,67.9420,16689300
2017-03-28,67.7707,69.3283,67.7396,69.0012,16264400
2017-03-29,69.0012,69.1726,68.5963,68.7442,10207600
2017-03-30,68.6897,69.6710,68.6274,69.3361,11631000
2017-03-31,69.0869,69.1102,68.3392,68.4093,16987600
2017-04-03,68.5262,68.6663,67.4436,68.1601,19831800
2017-04-04,68.0583,68.6692,67.9251,68.3873,14280800
2017-04-05,69.2567,69.3507,67.4630,67.5100,17635500
2017-04-06,67.3455,68.0740,66.7738,67.7372,14379600
2017-04-07,67.3064,67.9956,67.1340,67.5022,13097100
2017-04-10,67.4238,67.9016,66.8912,67.2672,15081600
2017-04-11,67.0009,67.1967,66.4213,67.1497,14690500
2017-04-12,67.3064,67.3220,66.6014,66.8912,14730600
2017-04-13,66.9696,68.1366,66.1080,66.1080,30529800
2017-04-17,66.1393,67.4239,66.0845,67.2515,19071700
2017-04-18,66.8599,67.0714,66.3743,66.7032,14127000
2017-04-19,66.9696,67.2985,66.0766,66.1550,17588500
2017-04-20,66.5622,67.1888,66.2254,67.0087,15635800
2017-04-21,66.9695,67.1105,66.1941,66.2019,19820600
2017-04-24,67.7920,68.9669,67.6902,68.5361,25468300
2017-04-25,69.3585,69.8128,69.1314,69.1314,18253800
2017-04-26,69.2019,69.7502,69.0374,69.2645,12832200
2017-04-27,69.2175,69.2175,68.1523,68.6222,13329000
2017-04-28,68.6144,68.8102,68.1053,68.1445,10755600
2017-05-01,68.4264,68.7241,67.7998,68.1915,15712300
2017-05-02,67.9173,68.0504,67.3768,67.7528,14414200
2017-05-03,67.4082,68.2228,67.3769,68.1445,11540500
2017-05-04,68.6849,68.7163,67.8077,68.2228,11540100
2017-05-05,68.3403,68.4108,67.6902,68.1445,9436000
2017-05-08,68.1758,68.3951,67.8703,68.2228,8162200
2017-05-09,68.3481,68.8024,67.7528,67.9486,10273900
2017-05-10,67.7763,68.5204,67.7293,68.4813,8334900
2017-05-11,68.2149,68.5204,67.6353,68.2698,10907400
2017-05-12,67.8938,68.1836,67.6275,68.0818,8738800
2017-05-15,68.2228,68.5283,68.0348,68.4108,8835600
2017-05-16,68.4264,68.9982,68.4108,68.6222,9795000
2017-05-17,68.6222,68.6222,65.7711,66.0061,24679700
2017-05-18,65.8495,66.4213,65.2934,65.7634,23350100
2017-05-19,65.9592,66.8442,65.9122,66.4056,13412900
2017-05-22,66.7189,66.8051,65.9591,66.3429,11636000
2017-05-23,66.3821,67.4160,66.1941,67.1732,11753000
2017-05-24,67.2672,67.3377,66.7659,67.1340,9833800
2017-05-25,67.3534,67.4239,66.6406,66.8521,12238500
2017-05-26,66.6641,67.0166,66.5936,66.8599,8113500
2017-05-30,66.6797,66.6954,65.6223,65.7163,12603200
2017-05-31,65.5832,65.6537,63.9461,64.3456,28327900
2017-06-01,64.5884,65.0740,63.9540,65.0584,17123500
2017-06-02,64.4552,65.0035,64.2124,64.7294,14998500
2017-06-05,64.7294,65.4109,64.6824,64.8469,9080200
2017-06-06,64.4553,65.1837,64.3299,64.9800,12196800
2017-06-07,65.2542,65.8808,65.0897,65.7241,13711100
2017-06-08,65.7242,67.1497,65.7085,66.5388,17951000
2017-06-09,66.9774,68.1836,66.8834,68.1131,19120200
2017-06-12,68.1131,68.7241,68.0583,68.1288,16053400
2017-06-13,68.5753,68.8102,68.1288,68.3559,12557200
2017-06-14,67.9643,68.3873,67.2202,68.2150,16175700
2017-06-15,67.5570,68.2071,67.5492,67.8077,12509700
2017-06-16,68.0270,68.1131,67.3769,67.5022,16936600
2017-06-19,68.1210,69.1079,68.0270,68.9826,15972300
2017-06-20,68.7319,68.8651,68.4343,68.5518,11197800
2017-06-21,68.5204,68.5753,67.9565,68.2384,10005900
2017-06-22,68.0896,68.4264,67.8703,68.1601,12180600
2017-06-23,68.6614,68.9277,67.8390,68.0348,18812000
2017-06-26,68.1523,68.6692,67.8468,68.3324,10082400
