Date,Open,High,Low,Close,Volume
2016-07-21,33.1821,33.3065,33.1235,33.2626,8045100
2016-07-22,33.2991,33.5480,33.2699,33.5407,8836100
2016-07-25,33.5260,33.5407,33.2772,33.3504,9134300
2016-07-26,33.3211,33.4089,32.8088,32.8454,15819900
2016-07-27,32.1282,32.2453,31.5427,31.7623,37461100
2016-07-28,31.6671,31.9745,31.6305,31.9452,13077800
2016-07-29,31.9964,32.0184,31.8208,31.9306,16530500
2016-08-01,31.9745,32.0770,31.7842,31.7989,12349700
2016-08-02,31.7257,31.8940,31.6964,31.8574,12825200
2016-08-03,31.9526,31.9818,31.7403,31.9379,12119100
2016-08-04,31.8793,32.0550,31.7623,31.8428,11244100
2016-08-05,31.9452,32.0184,31.7696,31.8208,10398200
2016-08-08,31.7842,31.8501,31.6305,31.7915,8680300
2016-08-09,31.8355,31.9379,31.7476,31.8135,7281300
2016-08-10,31.9379,31.9745,31.8355,31.9160,8412100
2016-08-11,31.9965,32.1062,31.9233,32.0184,11303300
2016-08-12,32.1355,32.3404,32.0477,32.2233,10928900
2016-08-15,32.2746,32.4429,32.2087,32.3770,10390600
2016-08-16,32.3843,32.3843,32.0770,32.0770,9706100
2016-08-17,32.2087,32.2526,32.0404,32.2453,11208500
2016-08-18,32.2087,32.3917,32.2014,32.2746,9144300
2016-08-19,32.2380,32.2453,32.0111,32.1428,9385900
2016-08-22,32.1575,32.1648,32.0038,32.0111,8687500
2016-08-23,32.0916,32.1868,32.0111,32.0916,8421100
2016-08-24,32.0697,32.1575,31.9526,32.0916,11508900
2016-08-25,32.0916,32.1575,31.9306,31.9599,9815700
2016-08-26,31.9965,32.1428,31.6964,31.7037,11824900
2016-08-29,31.7184,31.9160,31.7110,31.8647,9544600
2016-08-30,31.8062,31.8574,31.5573,31.6452,9720100
2016-08-31,31.7842,31.8062,31.5281,31.7842,10217900
2016-09-01,31.6232,31.7696,31.6159,31.7257,8457800
2016-09-02,31.8501,32.0770,31.8135,31.9525,9026000
2016-09-06,32.0111,32.0550,31.7623,32.0477,8600400
2016-09-07,31.9965,32.0550,31.8574,31.9379,8656600
2016-09-08,31.9599,32.0038,31.7988,31.9306,10020400
2016-09-09,31.7842,31.7842,30.9353,30.9353,23624200
2016-09-12,31.0011,31.6379,30.9865,31.6086,15932300
2016-09-13,31.5569,31.5569,31.1437,31.1954,12962700
2016-09-14,31.1880,31.2913,30.9814,31.0700,9823900
2016-09-15,30.9962,31.2766,30.9003,31.2544,10158500
2016-09-16,31.1142,31.1806,30.9667,31.0921,16354000
2016-09-19,31.1069,31.2618,31.0478,31.0626,7659900
2016-09-20,31.2175,31.3798,31.1659,31.2397,8407200
