Date,Open,High,Low,Close,Volume
2016-07-21,120.8587,121.0371,119.2032,119.5601,17801700
2016-07-22,118.8563,119.9566,118.2714,119.9467,18422400
2016-07-25,120.3333,120.7893,116.7547,120.5712,18487400
2016-07-26,120.9380,121.0074,119.6989,120.1648,17612000
2016-07-27,121.3543,123.9119,120.4522,122.2663,52654200
2016-07-28,126.4099,127.2129,122.5538,123.9119,78955800
2016-07-29,123.5649,124.7445,122.6331,122.8611,35058800
2016-08-01,122.7719,123.4955,121.7905,123.2279,25006900
2016-08-02,122.9800,123.7136,121.0074,122.0185,23968400
2016-08-03,122.0185,122.8412,121.2453,121.4435,18525300
2016-08-04,121.8698,123.7037,121.4436,123.2775,21066000
2016-08-05,123.8921,124.7446,123.5352,124.0606,20184000
2016-08-08,124.1597,124.3579,123.4658,124.1696,15233900
2016-08-09,124.2489,124.9924,123.4460,123.9713,19621000
2016-08-10,123.9813,124.3877,123.4559,123.7929,10670100
2016-08-11,124.1101,124.2886,123.6640,123.8127,11729500
2016-08-12,123.6145,123.9119,123.0990,123.7929,12159000
2016-08-15,123.8226,123.8326,122.6232,122.8214,19295100
2016-08-16,122.4249,122.8413,121.7112,122.2267,14222400
2016-08-17,122.5835,123.2973,121.7806,123.2874,13794200
2016-08-18,122.9305,123.1783,122.5637,122.8313,12400800
2016-08-19,122.5241,123.0792,122.2068,122.4844,11688300
2016-08-22,122.2564,123.7433,122.0383,123.0693,14386400
2016-08-23,123.4261,124.0011,123.1684,123.2874,13309500
2016-08-24,123.3865,123.6046,122.0185,122.4051,12243700
2016-08-25,122.0482,123.2873,122.0284,122.8115,10730800
2016-08-26,122.9701,124.1002,122.8314,123.8722,17504800
2016-08-29,123.2675,125.6268,123.2675,125.4385,15925900
2016-08-30,125.4979,125.4979,124.0606,124.7445,17804300
2016-08-31,124.5066,125.1212,124.0110,125.0221,14200600
2016-09-01,125.2798,125.5277,124.5066,125.0717,13536100
2016-09-02,125.7458,125.7557,124.9032,125.4087,12118800
2016-09-06,125.5673,128.8089,125.3691,128.6007,26278400
2016-09-07,128.9080,130.8311,128.8188,129.9092,27990800
2016-09-08,129.7803,129.9389,128.6800,129.1360,15676600
2016-09-09,128.5809,128.8188,125.9936,125.9936,27100700
2016-09-12,124.8635,127.6391,124.6553,127.5697,21252800
2016-09-13,126.9155,127.2327,125.5574,126.1026,18016200
2016-09-14,125.7854,127.6788,125.7854,126.6577,15691100
2016-09-15,126.8659,127.9762,126.5586,127.2327,15077200
2016-09-16,127.0840,128.0555,127.0840,127.9465,24119200
2016-09-19,128.7791,128.8089,127.1435,127.5301,14958800
2016-09-20,127.5301,128.0456,126.9155,127.5202,11083800
2016-09-21,128.0059,128.8782,127.2723,128.8089,14068300
2016-09-22,129.3640,129.5920,128.4322,128.9476,15538300
2016-09-23,126.4496,127.4805,126.1918,126.8461,28326300
2016-09-26,126.2612,127.0444,125.6962,126.2017,15064900
2016-09-27,126.4991,127.8870,126.3207,127.5697,15637100
2016-09-28,128.0852,128.3430,127.2823,128.1051,12047600
2016-09-29,128.0555,128.1645,126.4397,126.9750,14532200
2016-09-30,126.9155,127.4706,126.3405,127.1534,18402900
2016-10-03,127.2624,127.9663,126.6875,127.6490,13156900
2016-10-04,128.0456,128.1546,126.4397,127.0741,14307500
2016-10-05,127.1336,127.6788,126.7172,127.3516,12386800
2016-10-06,127.3120,127.9365,126.9651,127.6193,11682700
2016-10-07,127.9167,128.1249,127.2129,127.8671,12804400
2016-10-10,128.5511,129.5622,128.0753,129.1062,15138700
2016-10-11,129.0963,129.5028,127.1137,127.7581,17537900
2016-10-12,127.8870,128.5313,127.3418,127.9266,11073000
2016-10-13,127.0939,127.1336,125.6466,126.7073,17139300
2016-10-14,127.3715,127.8275,126.4694,126.7668,13345300
2016-10-17,127.0840,127.3517,126.2117,126.4298,11351700
2016-10-18,127.5598,128.2636,126.8957,127.4508,13504000
2016-10-19,127.6193,129.3343,127.4805,128.9774,16752300
2016-10-20,128.9377,129.5226,128.3727,128.8683,13167500
2016-10-21,128.6503,130.9798,128.5710,130.9203,19088800
2016-10-24,131.5646,132.2486,130.9996,132.1198,17470200
2016-10-25,132.3379,132.3379,131.0690,131.1384,13336800
2016-10-26,130.4940,131.1086,129.8001,129.8993,13084700
2016-10-27,130.5932,130.6527,128.1447,128.5610,16741400
2016-10-28,129.3640,131.8125,128.7989,130.1471,24545500
2016-10-31,130.8608,130.9699,129.7407,129.8497,15669000
2016-11-01,130.2660,130.7914,127.5301,128.3727,22077800
2016-11-02,129.0963,129.0963,125.1807,126.0630,39640900
2016-11-03,120.9380,122.2068,118.4597,118.9554,63766300
2016-11-04,118.5490,120.8686,118.2119,119.6989,30545500
2016-11-07,121.7608,122.1374,120.2936,121.0867,23008900
2016-11-08,120.9677,123.5253,120.4820,123.1386,19460800
2016-11-09,120.4423,122.7322,119.4609,122.1077,31916000
2016-11-10,122.8512,123.0990,114.2666,119.7484,67846700
2016-11-11,118.4895,119.6493,117.1215,117.9839,32840100
2016-11-14,118.0930,118.0930,112.5615,114.0782,51377000
2016-11-15,115.7138,117.4585,114.8217,116.1797,34681400
2016-11-16,113.4834,116.8538,113.2158,115.3272,32397900
2016-11-17,115.7932,116.7646,115.0001,116.7646,18597800
2016-11-18,117.3594,118.0929,115.8229,116.0013,22879300
2016-11-21,117.1711,120.8884,116.7745,120.7100,35415400
2016-11-22,121.3345,121.9095,119.8476,120.4126,26089200
2016-11-23,120.1747,120.2540,118.8959,119.7881,15672100
2016-11-25,119.9566,120.0855,119.0248,119.3321,8658600
2016-11-28,119.0743,120.6307,118.7769,119.3618,18101300
2016-11-29,119.5204,121.0371,119.3519,119.8178,18891000
2016-11-30,119.2726,120.7298,116.9232,117.3891,30188900
2016-12-01,117.3495,117.4189,113.0076,114.0980,43277000
2016-12-02,114.1079,115.4660,113.3050,114.3954,25070400
