Date,Open,High,Low,Close,Volume
2016-07-21,1.3263,1.3304,1.3003,1.3047,361308000
2016-07-22,1.3094,1.3402,1.2998,1.3402,315768000
2016-07-25,1.3483,1.3682,1.3424,1.3650,312528000
2016-07-26,1.3770,1.3954,1.3751,1.3883,514508000
2016-07-27,1.4003,1.4028,1.3660,1.3743,446676000
2016-07-28,1.3775,1.3876,1.3731,1.3773,221916000
2016-07-29,1.3824,1.4035,1.3576,1.3998,409588000
2016-08-01,1.4057,1.4108,1.3817,1.3907,301120000
2016-08-02,1.3974,1.3981,1.3606,1.3738,282748000
2016-08-03,1.3721,1.3802,1.3645,1.3775,299828000
2016-08-04,1.3841,1.4094,1.3814,1.4030,272712000
2016-08-05,1.4192,1.4275,1.4123,1.4268,371588000
2016-08-08,1.4464,1.4498,1.4248,1.4400,305064000
2016-08-09,1.4471,1.4577,1.4400,1.4437,372344000
2016-08-10,1.4564,1.4586,1.4297,1.4344,375740000
2016-08-11,1.4420,1.4697,1.4390,1.4636,681064000
2016-08-12,1.5175,1.5538,1.4864,1.5454,1425744000
2016-08-15,1.5471,1.5567,1.5231,1.5440,573304000
2016-08-16,1.5418,1.5442,1.5300,1.5346,287652000
2016-08-17,1.5346,1.5381,1.4871,1.4991,595212000
2016-08-18,1.4969,1.5248,1.4910,1.5224,331684000
2016-08-19,1.5217,1.5378,1.5150,1.5263,291560000
2016-08-22,1.5310,1.5349,1.5128,1.5327,244748000
2016-08-23,1.5483,1.5552,1.5407,1.5451,339764000
2016-08-24,1.5505,1.5512,1.5141,1.5213,298448000
2016-08-25,1.5218,1.5225,1.4923,1.5112,406032000
2016-08-26,1.5151,1.5321,1.5031,1.5235,300024000
2016-08-29,1.5296,1.5358,1.5200,1.5225,274652000
2016-08-30,1.5205,1.5286,1.5095,1.5137,285544000
2016-08-31,1.5166,1.5208,1.5021,1.5065,388544000
2016-09-01,1.5078,1.5566,1.5065,1.5510,428492000
2016-09-02,1.5542,1.5559,1.5183,1.5358,323148000
2016-09-06,1.5412,1.5502,1.5333,1.5502,306812000
2016-09-07,1.5453,1.5529,1.5186,1.5274,397988000
2016-09-08,1.5259,1.5409,1.5085,1.5385,315808000
2016-09-09,1.5215,1.5301,1.4491,1.4618,697760000
2016-09-12,1.4424,1.4950,1.4078,1.4920,598260000
2016-09-13,1.4884,1.5055,1.4621,1.4704,471768000
2016-09-14,1.4739,1.4884,1.4616,1.4834,319048000
2016-09-15,1.4859,1.5414,1.4825,1.5397,515212000
2016-09-16,1.5451,1.5534,1.5257,1.5434,902444000
2016-09-19,1.5596,1.6028,1.5525,1.5638,417128000
2016-09-20,1.5817,1.5817,1.5409,1.5495,331112000
2016-09-21,1.5542,1.5959,1.5539,1.5930,336212000
2016-09-22,1.6023,1.6072,1.5878,1.5969,308732000
2016-09-23,1.5989,1.6035,1.5881,1.5952,276132000
2016-09-26,1.5770,1.5866,1.5603,1.5802,230040000
2016-09-27,1.5741,1.6367,1.5733,1.6342,402752000
2016-09-28,1.6367,1.6414,1.6193,1.6401,319788000
2016-09-29,1.6374,1.6605,1.6222,1.6554,336684000
2016-09-30,1.6645,1.6993,1.6546,1.6829,429932000
2016-10-03,1.6829,1.7072,1.6782,1.6812,242596000
2016-10-04,1.6836,1.7119,1.6649,1.6775,281624000
2016-10-05,1.6917,1.7089,1.6706,1.6757,305440000
2016-10-06,1.6556,1.6659,1.6274,1.6539,360212000
2016-10-07,1.6649,1.6694,1.6372,1.6419,286260000
2016-10-10,1.6505,1.6593,1.6325,1.6480,287876000
2016-10-11,1.6426,1.6450,1.6116,1.6242,388540000
2016-10-12,1.6175,1.6401,1.6040,1.6315,419920000
2016-10-13,1.6124,1.6161,1.5645,1.6050,390116000
2016-10-14,1.6247,1.6357,1.6112,1.6207,330636000
2016-10-17,1.6205,1.6357,1.6092,1.6114,195328000
2016-10-18,1.6338,1.6453,1.6271,1.6360,269372000
2016-10-19,1.6249,1.6401,1.6166,1.6325,199060000
2016-10-20,1.6517,1.6689,1.6283,1.6635,312084000
2016-10-21,1.6576,1.6618,1.6431,1.6588,279508000
2016-10-24,1.6701,1.7386,1.6699,1.7367,339836000
2016-10-25,1.7337,1.7757,1.7254,1.7651,397460000
2016-10-26,1.7504,1.7917,1.7487,1.7723,333792000
2016-10-27,1.7858,1.7892,1.7288,1.7359,388664000
2016-10-28,1.7443,1.7708,1.7298,1.7330,290856000
2016-10-31,1.7386,1.7593,1.7376,1.7477,252388000
2016-11-01,1.7541,1.7637,1.6772,1.6959,473224000
2016-11-02,1.7089,1.7320,1.6858,1.6888,295848000
2016-11-03,1.6966,1.6981,1.6367,1.6691,309664000
2016-11-04,1.6581,1.6880,1.6352,1.6595,328780000
2016-11-07,1.7082,1.7615,1.7069,1.7504,487580000
2016-11-08,1.7570,1.7627,1.7315,1.7477,429884000
2016-11-09,1.7003,1.7413,1.6878,1.7182,456532000
2016-11-10,1.7558,1.7561,1.6396,1.6645,869280000
2016-11-11,1.9528,2.1802,1.9280,2.1606,2175344000
2016-11-14,2.1635,2.1660,2.0537,2.0542,1348796000
2016-11-15,2.0702,2.1478,2.0613,2.1169,626092000
2016-11-16,2.1451,2.2733,2.1208,2.2505,987984000
2016-11-17,2.2672,2.3281,2.2264,2.2691,832988000
2016-11-18,2.2691,2.3168,2.2546,2.2929,576060000
2016-11-21,2.3109,2.3173,2.2694,2.2836,436436000
2016-11-22,2.2915,2.3023,2.2689,2.3001,330368000
2016-11-23,2.3052,2.3429,2.2819,2.3114,443236000
2016-11-25,2.3225,2.3392,2.2976,2.3161,195564000
2016-11-28,2.3089,2.3303,2.3023,2.3148,278736000
2016-11-29,2.3121,2.3229,2.2760,2.2937,444568000
2016-11-30,2.3023,2.3161,2.2654,2.2678,440500000
2016-12-01,2.2654,2.2671,2.0851,2.1557,1035524000
2016-12-02,2.1215,2.1842,2.0937,2.1756,478292000
2016-12-05,2.2135,2.2779,2.1891,2.2600,602284000
2016-12-06,2.2681,2.3055,2.2524,2.2971,498796000
2016-12-07,2.2836,2.3441,2.2654,2.3384,480804000
2016-12-08,2.3414,2.3766,2.2888,2.2993,381544000
2016-12-09,2.3170,2.3188,2.2312,2.2585,382312000
2016-12-12,2.2100,2.2125,2.1532,2.2037,601332000
2016-12-13,2.2159,2.2701,2.2150,2.2425,387796000
