Date,Open,High,Low,Close,Volume
2016-07-21,184.8094,185.0309,183.7787,184.2216,67777300
2016-07-22,184.3409,185.0990,184.0768,185.0479,62787500
2016-07-25,184.8435,184.8946,183.9661,184.5453,55873100
2016-07-26,184.4432,184.9883,183.7873,184.6306,70080500
2016-07-27,185.0053,185.0734,183.6679,184.4346,84083900
2016-07-28,184.2387,184.9372,183.7787,184.6476,65035700
2016-07-29,184.3835,185.3034,184.1024,184.9457,79519400
2016-08-01,185.0054,185.3972,184.3409,184.7924,73311400
2016-08-02,184.5453,184.6987,182.7736,183.6084,92295500
2016-08-03,183.5487,184.2046,183.2506,184.1450,53993600
2016-08-04,184.2557,184.6561,182.5010,184.3409,46585500
2016-08-05,184.3409,185.8912,184.3409,185.8486,71892200
2016-08-08,186.0360,186.1382,185.4738,185.7378,39906500
2016-08-09,185.8060,186.3426,185.5249,185.8486,51251700
2016-08-10,185.9593,186.0360,185.0394,185.3886,57941100
2016-08-11,185.9168,186.4960,185.6527,186.2490,72504300
2016-08-12,185.9423,186.3001,185.6868,186.0871,61313500
2016-08-15,186.4534,186.9730,186.4449,186.6237,49813500
2016-08-16,186.2063,186.2745,185.6612,185.6612,53213600
2016-08-17,185.6953,186.1467,184.8605,186.0105,75134300
2016-08-18,185.9849,186.4619,185.8742,186.4278,52989300
2016-08-19,185.9594,186.3342,185.4738,186.1553,75443000
2016-08-22,185.9167,186.3767,185.5505,186.1467,61368800
2016-08-23,186.7601,187.0582,186.4619,186.5215,53399200
2016-08-24,186.3768,186.4705,185.1501,185.5675,71728900
2016-08-25,185.1842,185.8571,185.0309,185.4397,69224800
2016-08-26,185.6272,186.6493,184.2046,185.0905,122506300
2016-08-29,185.2182,186.2660,185.1841,186.0019,70502200
2016-08-30,185.9167,186.1978,185.1416,185.6953,58114500
2016-08-31,185.3631,185.4824,184.3920,185.1672,85269500
2016-09-01,185.1586,185.4653,184.0172,185.1757,97844200
2016-09-02,186.0275,186.4364,185.4397,186.0105,79293900
2016-09-06,186.2916,186.6493,185.5760,186.5727,56702100
2016-09-07,186.4108,186.7345,185.9508,186.5556,76554900
2016-09-08,186.2234,186.4960,185.8231,186.1297,74102900
2016-09-09,184.8179,184.8690,181.6492,181.6747,221589100
2016-09-12,180.9166,184.6816,180.8484,184.2812,168110900
2016-09-13,183.0036,183.2677,181.0104,181.6322,182828800
2016-09-14,181.6832,182.8843,181.0103,181.5640,134185500
2016-09-15,181.4022,183.7617,181.2233,183.3784,134427900
2016-09-16,182.7637,182.9434,181.9846,182.6695,155236400
2016-09-19,183.3201,183.9622,182.3784,182.7037,80250500
2016-09-20,183.5598,183.7139,182.6780,182.7122,69665300
2016-09-21,183.4143,184.9468,182.7294,184.7670,110284400
2016-09-22,185.7772,186.2309,185.5289,185.9313,76678700
2016-09-23,185.5375,185.6744,184.8183,184.9125,73630900
2016-09-26,184.0821,184.2619,183.2174,183.4143,89827300
2016-09-27,183.2516,184.6471,182.8835,184.5529,78494800
2016-09-28,184.7756,185.6231,183.8167,185.4690,87411000
2016-09-29,185.2635,185.6659,183.2431,183.7910,128070600
2016-09-30,184.6214,185.8799,184.3732,185.1779,117202900
2016-10-03,184.7670,184.9554,184.0992,184.7328,83512100
2016-10-04,184.8440,185.0666,183.2003,183.7910,119948100
2016-10-05,184.4160,185.0324,184.3475,184.6043,72816000
2016-10-06,184.3818,184.9554,183.8424,184.7328,62927400
2016-10-07,185.0067,185.1779,183.3715,184.0992,89788300
2016-10-10,185.0580,185.5203,184.9125,185.0580,51855000
2016-10-11,184.6300,184.6985,181.9932,182.7209,130367400
2016-10-12,182.8579,183.4828,182.3613,182.9606,73866100
2016-10-13,181.6335,182.8578,180.8202,182.3612,101357000
2016-10-14,183.3372,183.7995,182.3784,182.4554,93346200
2016-10-17,182.4298,182.6866,181.6421,181.8219,58275700
2016-10-18,183.4143,183.4743,182.5839,182.9606,76869700
2016-10-19,183.2260,183.7568,182.8664,183.4486,66519200
2016-10-20,183.0975,183.6625,182.4469,183.1061,73639800
2016-10-21,183.1061,183.2773,182.1472,183.1917,89089100
2016-10-24,184.0649,184.3389,183.6197,183.9707,60146600
2016-10-25,183.7910,184.0479,183.1917,183.3544,66542300
2016-10-26,182.5325,183.5684,182.2928,182.9863,75705500
2016-10-27,183.7054,183.7396,182.4212,182.4982,77220200
2016-10-28,182.4725,183.1488,181.2483,181.9588,140623200
2016-10-31,182.2928,182.5154,181.8048,181.9675,61272500
2016-11-01,182.2928,182.3442,179.4419,180.6490,122781800
2016-11-02,180.3409,180.7261,179.1252,179.5618,103330800
2016-11-03,179.7758,179.9898,178.4659,178.7399,88939300
2016-11-04,178.8512,179.6902,178.3975,178.5430,109122100
2016-11-07,178.5431,182.5154,178.5431,182.4812,109794900
2016-11-08,182.0873,183.8681,181.8219,183.3030,106772100
2016-11-09,181.8133,185.8628,181.7877,185.2464,258429000
2016-11-10,186.0340,186.8986,184.2533,185.7086,172113300
2016-11-11,184.9896,185.5204,184.3389,185.2806,100552700
2016-11-14,185.8029,186.0084,184.6814,185.4262,94580000
2016-11-15,185.8114,186.8730,185.6059,186.8730,91652600
2016-11-16,186.2566,186.7532,186.1368,186.5220,65617700
2016-11-17,186.6761,187.5408,186.5648,187.4809,69797200
2016-11-18,187.5493,187.7206,186.8816,187.0613,86265800
2016-11-21,187.6349,188.4996,187.4894,188.4739,72402600
2016-11-22,188.7821,189.0218,188.1143,188.8420,67429000
2016-11-23,188.3284,188.9962,188.1315,188.9448,56620200
2016-11-25,189.2873,189.6811,189.2102,189.6469,37872300
2016-11-28,189.3386,189.6126,188.6537,188.7564,76572500
2016-11-29,188.7907,189.5784,188.4911,189.1246,69886700
2016-11-30,189.7410,189.9036,188.6109,188.6708,113291800
2016-12-01,188.9705,188.9705,187.6178,187.9774,79040500
2016-12-02,188.0630,188.5596,187.7120,188.0716,74840300
2016-12-05,188.9020,189.5441,188.7051,189.2016,67837800
2016-12-06,189.3900,189.8352,188.9106,189.8009,59877400
2016-12-07,189.6469,192.3437,189.5270,192.2837,110738100
2016-12-08,192.2580,193.2254,191.9926,192.7546,99714400
2016-12-09,192.9771,193.9360,192.9429,193.9189,88005800
2016-12-12,193.8247,194.3041,193.2768,193.6963,102016100
2016-12-13,194.3555,195.4855,194.3383,194.9890,110477500
2016-12-14,194.6893,195.3914,192.9429,193.3795,142501800
2016-12-15,193.6192,195.0318,193.3880,194.1757,124972600
2016-12-16,194.6312,194.6915,193.4773,193.7959,156420200
2016-12-19,193.9768,194.6399,193.8304,194.2179,90341100
2016-12-20,194.7518,195.1135,194.5193,194.9671,89838800
2016-12-21,194.8379,195.0101,194.4245,194.4245,67909000
2016-12-22,194.2782,194.3987,193.6926,194.0887,56219100
2016-12-23,194.1318,194.3815,193.9423,194.3729,36697800
2016-12-27,194.6399,195.2513,194.6226,194.8551,42672500
2016-12-28,195.1135,195.1308,193.1329,193.2448,64095000
