Date,Open,High,Low,Close,Volume
2016-07-21,103.4963,104.6896,103.4586,104.6443,10398400
2016-07-22,104.1684,105.1578,104.1231,104.8255,5811400
2016-07-25,104.9312,105.1729,104.6669,104.7500,4243800
2016-07-26,105.3693,105.3693,104.5687,104.9161,5243400
2016-07-27,105.3919,106.2227,105.2786,106.2227,8508100
2016-07-28,105.5807,106.3662,105.5128,106.0263,7336100
2016-07-29,106.0716,107.0005,105.8979,106.9099,8766700
2016-08-01,105.7584,106.3032,105.6298,105.7508,9809300
2016-08-02,104.2830,105.3650,104.0333,104.6613,10051200
2016-08-03,104.8656,105.0018,104.3435,104.7218,4930600
2016-08-04,105.5163,106.0459,105.3725,105.5087,5646000
2016-08-05,105.2061,105.3044,104.2755,104.4117,7778600
2016-08-08,104.1090,104.8202,103.8971,104.6083,5185200
2016-08-09,104.9488,105.7130,104.8807,105.6373,5503200
2016-08-10,105.8491,106.3107,105.5238,106.0459,5843500
2016-08-11,105.9702,105.9854,104.8202,105.1001,7624600
2016-08-12,106.2350,106.5755,105.8264,105.9853,7989600
2016-08-15,105.4255,105.6449,104.9791,104.9866,5108600
2016-08-16,105.1531,105.2818,104.5857,104.7067,6182700
2016-08-17,104.8883,105.5011,104.7899,105.3347,5002000
2016-08-18,105.3196,105.7433,105.0093,105.5011,3805200
2016-08-19,104.8959,105.2061,104.4873,104.9488,5516300
2016-08-22,105.6600,106.0307,105.4481,105.8340,5549700
2016-08-23,106.1291,106.3712,105.6752,105.9475,6841400
2016-08-24,106.0005,106.0686,105.4633,105.6978,6027800
2016-08-25,105.3649,105.7584,105.1380,105.2968,5855500
2016-08-26,105.7206,106.4469,104.5781,104.6840,12962500
2016-08-29,105.4557,106.1896,105.3271,106.0837,7310400
2016-08-30,106.0535,106.1216,105.6752,105.6752,5161800
2016-08-31,105.6676,106.0534,105.4255,105.8265,7349700
2016-09-01,105.0715,106.1934,105.0336,105.9432,9149100
2016-09-02,105.3292,105.3974,104.7304,105.0790,8397000
2016-09-06,105.1397,106.1781,104.9881,105.8446,8542600
2016-09-07,106.3980,106.4359,105.7689,105.7689,5421800
2016-09-08,105.2534,105.5642,104.0406,104.4424,14301500
2016-09-09,103.1387,103.1765,102.6384,102.7218,13347700
2016-09-12,102.5702,102.9567,102.4489,102.7748,9096600
2016-09-13,102.9870,103.0856,101.0845,101.6075,15645400
2016-09-14,101.6075,102.2594,101.6075,101.7591,7037700
2016-09-15,101.2741,101.6076,100.8344,101.3195,9874500
2016-09-16,102.0093,102.1836,101.7364,102.1381,7507900
2016-09-19,101.9638,102.2291,101.7591,101.8046,7105900
2016-09-20,102.4413,102.7672,102.0775,102.1609,6054800
2016-09-21,102.0245,103.0022,101.7061,102.9871,10698100
2016-09-22,103.5935,104.0634,103.4646,103.8057,12426200
2016-09-23,103.8664,104.1013,103.6238,103.7072,5928800
2016-09-26,103.8967,104.4728,103.8588,104.3666,8661300
2016-09-27,105.0488,105.2079,104.5637,105.1321,9450400
2016-09-28,104.9805,105.4732,104.7683,104.9047,7958700
2016-09-29,104.2681,105.4126,104.1847,105.1701,8319800
2016-09-30,105.0184,105.0867,103.7450,104.2301,11747100
2016-10-03,104.5468,104.6152,103.8482,103.8862,7588800
2016-10-04,103.7419,103.9090,102.6333,102.6713,12048700
2016-10-05,102.5270,102.5725,101.8436,102.1929,8917700
2016-10-06,101.7296,102.2763,101.5094,101.6233,7839900
2016-10-07,101.6993,101.9726,101.0614,101.6917,9953200
2016-10-10,100.8792,101.1145,100.6210,101.0918,6089100
2016-10-11,100.8867,101.4107,100.6665,100.8639,9670400
2016-10-12,100.7425,101.0083,100.4160,100.9627,7582400
2016-10-13,101.4790,101.6993,101.2740,101.3424,7080600
2016-10-14,100.4388,100.9551,99.8768,99.9224,11415100
2016-10-17,100.3096,100.7956,100.3020,100.5602,10595900
2016-10-18,100.1274,100.9095,100.1046,100.8868,7151000
2016-10-19,100.5147,101.1981,100.4768,100.9703,6941300
2016-10-20,101.4790,101.5625,100.9171,101.0765,6082300
2016-10-21,101.3880,101.5398,100.8944,101.2285,9222700
2016-10-24,101.3044,101.3348,100.4539,100.7880,6507500
2016-10-25,100.6362,101.4183,100.6058,101.0538,5134700
2016-10-26,100.5830,100.8412,100.2261,100.3704,5842500
2016-10-27,99.5275,99.5275,98.7606,99.2770,10044700
2016-10-28,99.0112,99.4212,98.9656,99.0567,7541000
2016-10-31,99.3908,99.6946,99.2541,99.6642,7047500
2016-11-01,99.0252,100.1207,98.8122,99.6719,12622400
2016-11-02,99.8924,100.5087,99.6870,100.1055,8666200
2016-11-03,99.4740,99.7022,99.2381,99.3370,6085400
2016-11-04,99.8696,100.2652,99.7631,100.2272,7622600
2016-11-07,99.4740,99.6642,99.2382,99.3751,5386700
2016-11-08,99.6794,99.8240,98.6828,98.9719,7576500
2016-11-09,96.7884,96.9025,94.5060,94.7723,31233500
2016-11-10,94.3158,95.0690,93.3648,93.3724,22961200
2016-11-11,93.5474,93.6159,92.5508,92.8475,10040200
2016-11-14,92.2693,93.3192,91.8509,92.2921,21174400
2016-11-15,92.9844,93.4333,92.6497,92.7486,11963700
2016-11-16,93.0453,93.6843,92.9464,93.5854,9149500
2016-11-17,92.7790,92.9008,92.0487,92.2085,11221600
2016-11-18,92.5356,92.7942,91.5541,91.9421,13577700
2016-11-21,92.2160,92.4215,91.9726,92.1704,6488100
2016-11-22,92.5584,92.6344,91.9649,92.1399,9989900
2016-11-23,91.2879,91.9878,90.7249,91.7824,13563500
2016-11-25,92.2008,92.2769,91.5998,91.9193,3126300
2016-11-28,92.3682,92.6117,92.1247,92.5964,8555000
2016-11-29,92.3910,93.1214,92.2160,92.9844,8363000
2016-11-30,91.2726,92.0639,90.8998,91.4781,21163500
2016-12-01,90.3444,90.7104,89.6812,90.5122,21715700
2016-12-02,90.8476,91.6404,90.8247,91.1754,12487500
2016-12-05,90.6647,91.7853,90.2988,91.0763,12100100
2016-12-06,90.9772,91.4346,90.8095,91.0077,11526600
2016-12-07,91.3431,91.9530,91.3431,91.7853,10392200
2016-12-08,90.8324,90.9543,90.5503,90.7028,12041100
2016-12-09,90.4436,90.6113,89.4068,89.5745,14646400
2016-12-12,89.3992,89.8032,89.1019,89.7422,9496300
2016-12-13,90.2606,90.3292,89.5288,90.0624,12189200
2016-12-14,90.7790,90.8781,89.0409,89.0561,16618400
2016-12-15,89.6202,90.1768,89.2162,89.5059,12400500
2016-12-16,89.6584,89.8947,89.0409,89.3001,14924600
2016-12-19,89.9404,90.3978,89.7574,90.2606,10868300
2016-12-20,89.6736,89.8794,89.4830,89.8108,7030600
2016-12-21,89.8947,90.2606,89.7499,90.2073,4624700
2016-12-22,89.8319,90.1911,89.8090,90.0459,5177800
2016-12-23,90.3747,90.4893,90.1530,90.2294,4461600
2016-12-27,89.7479,89.9619,89.6027,89.9390,5276600
2016-12-28,90.0842,90.8638,89.9619,90.5963,7578600
2016-12-29,90.8026,91.1619,90.6956,90.9173,8581400
2016-12-30,90.7874,91.4524,90.7416,91.0549,10613900
2017-01-03,90.5046,91.7122,90.3288,91.4447,13217300
2017-01-04,91.5364,91.9033,91.2995,91.7963,6699600
2017-01-05,92.0638,93.2715,91.8498,93.2333,13265800
2017-01-06,92.5835,92.8969,92.2931,92.3772,8369300
2017-01-09,93.1568,93.2485,92.8358,93.1186,8839100
2017-01-10,92.9045,93.1797,92.6982,93.0574,8417900
2017-01-11,93.2026,93.7759,92.7975,93.3708,9402500
2017-01-12,93.8600,94.1199,93.1186,93.1645,9977600
2017-01-13,92.7364,93.0574,92.1938,92.7211,9820000
2017-01-17,93.8676,93.9670,93.2409,93.6918,7853300
2017-01-18,93.0727,93.2179,92.4154,92.4918,9064700
2017-01-19,92.0944,92.1632,91.3759,91.8575,11795600
2017-01-20,91.5975,91.9567,91.1771,91.6739,16953200
2017-01-23,91.9797,93.1492,91.7351,92.5912,13118400
2017-01-24,92.3084,92.5835,91.5670,91.9568,8395000
2017-01-25,91.1695,91.4141,90.6192,90.8026,11115100
2017-01-26,90.8867,91.1542,90.4434,91.1084,7827900
2017-01-27,91.2613,91.5900,91.1466,91.4371,7197800
2017-01-30,91.2918,91.6281,91.1083,91.1618,6569500
2017-01-31,91.2077,92.0256,91.1466,91.7963,13298500
2017-02-01,91.2287,91.5581,90.8304,91.2287,10975500
2017-02-02,91.8645,92.0253,91.1521,91.1904,6978600
2017-02-03,91.4891,91.8185,90.7461,91.1520,10275600
2017-02-06,91.7342,92.0177,91.2440,91.7036,8433800
2017-02-07,91.7496,92.6917,91.5121,92.3777,8418400
2017-02-08,93.0058,93.6569,92.9982,93.6339,15734200
2017-02-09,92.9981,93.1360,92.4236,92.5538,16890600
2017-02-10,92.0023,92.6458,92.0023,92.5002,7978500
2017-02-13,92.1096,92.2322,91.8262,92.2092,11536800
2017-02-14,92.1019,92.1478,91.0218,91.5427,13210500
2017-02-15,90.9682,91.3206,90.8840,91.1214,8481000
2017-02-16,91.3206,92.0789,91.2440,91.6193,10005800
