Date,Open,High,Low,Close,Volume
2016-07-21,15.0667,15.1900,14.6067,14.7000,66430500
2016-07-22,14.7993,14.9667,14.5920,14.8180,38695500
2016-07-25,14.8180,15.4260,14.7580,15.3340,67360500
2016-07-26,15.1793,15.3333,15.0200,15.3007,51450000
2016-07-27,15.2893,15.5573,15.1280,15.2327,43335000
2016-07-28,15.1967,15.3840,15.1067,15.3740,36286500
2016-07-29,15.3800,15.6853,15.3493,15.6527,46062000
2016-08-01,15.7000,15.7753,15.2920,15.3340,60244500
2016-08-02,15.2913,15.3247,14.7600,15.1467,59016000
2016-08-03,15.1580,15.3133,14.9473,15.0527,58317000
2016-08-04,15.0460,15.3907,14.8033,15.3740,62205000
2016-08-05,15.3333,15.4667,15.1600,15.3353,48078000
2016-08-08,15.2000,15.3067,15.0727,15.0773,33954000
2016-08-09,15.1213,15.4360,15.1100,15.2720,33117000
2016-08-10,15.2160,15.3247,14.9747,15.0433,35074500
2016-08-11,15.0780,15.1713,14.8940,14.9940,28213500
2016-08-12,15.0273,15.1100,14.9360,15.0407,27202500
2016-08-15,15.0680,15.3000,14.9953,15.0393,30514500
2016-08-16,15.0327,15.1460,14.8940,14.9073,34006500
2016-08-17,14.9553,14.9887,14.8533,14.8827,26806500
2016-08-18,14.9213,15.0440,14.8193,14.9007,25717500
2016-08-19,14.9027,15.0113,14.8353,15.0000,24892500
2016-08-22,14.9447,15.0073,14.8453,14.8620,30982500
2016-08-23,14.9547,15.2327,14.8533,14.9893,71766000
2016-08-24,15.1367,15.1433,14.8147,14.8413,38560500
2016-08-25,14.8740,14.9200,14.7180,14.7307,26437500
2016-08-26,14.8093,14.8573,14.5880,14.6660,33585000
2016-08-29,14.6767,14.6933,14.3333,14.3467,48994500
2016-08-30,14.4073,14.4073,14.0347,14.0893,47533500
2016-08-31,14.0287,14.1733,13.9100,14.1340,49147500
2016-09-01,13.9340,14.0733,13.3667,13.3847,119146500
2016-09-02,13.4887,13.5467,13.0800,13.1853,89661000
2016-09-06,13.2680,13.5500,13.2667,13.5220,65859000
2016-09-07,13.7000,13.7667,13.3807,13.4473,54613500
2016-09-08,13.3033,13.3260,13.0907,13.1573,50668500
2016-09-09,13.2727,13.3280,12.9133,12.9647,56355000
2016-09-12,13.0000,13.4247,12.9400,13.2200,55728000
2016-09-13,13.1373,13.2327,12.8967,13.0700,53841000
2016-09-14,13.0500,13.1947,12.9907,13.0940,33817500
2016-09-15,13.0993,13.5013,13.0933,13.3613,46158000
2016-09-16,13.3613,13.7133,13.2667,13.6933,46617000
