Date,Open,High,Low,Close,Volume
2016-07-21,121.0024,121.8673,120.5106,121.1381,3475100
2016-07-22,121.8334,122.1386,121.1805,121.8334,2697500
2016-07-25,121.7147,122.0029,119.9002,120.1715,2725600
2016-07-26,120.3495,120.5615,119.5695,120.1460,2668100
2016-07-27,119.6967,120.6887,118.6283,120.1291,2684100
2016-07-28,119.8578,121.2738,119.7136,121.0448,2517000
2016-07-29,120.2732,122.0114,120.0613,121.4179,3269700
2016-08-01,121.6044,122.2319,121.2822,121.6807,2494900
2016-08-02,121.9351,122.0708,120.6887,121.3924,2679100
2016-08-03,121.5281,121.7740,120.7650,121.1466,1963600
2016-08-04,121.3331,121.6553,120.6209,121.0025,1890900
2016-08-05,121.5281,121.7062,120.7396,121.2399,2000100
2016-08-08,120.9176,121.3077,120.2817,120.5106,1846400
2016-08-09,120.8668,121.3586,120.1291,120.2478,2140700
2016-08-10,120.2902,120.6887,119.4931,120.5615,1866300
2016-08-11,120.6039,121.2992,119.9256,120.9346,1857500
2016-08-12,120.5361,121.3670,119.9765,121.1466,1787900
2016-08-15,121.2144,121.3416,119.9680,120.0782,2369600
2016-08-16,119.6797,120.0782,118.9844,119.6203,1688500
2016-08-17,119.7984,120.3241,119.2642,120.1545,1849100
2016-08-18,120.1206,121.1127,119.7815,120.5446,1572700
2016-08-19,120.1037,120.6124,119.7391,120.4343,1950200
2016-08-22,120.4937,121.2483,120.1546,120.4767,1587900
2016-08-23,121.0193,121.1381,120.1884,120.4089,2295500
2016-08-24,120.4004,120.4683,118.2892,118.5944,2529800
2016-08-25,118.4927,118.4927,116.1864,116.4153,3891000
2016-08-26,116.7290,117.2632,115.3046,115.8388,3082400
2016-08-29,116.3306,117.0428,115.7201,116.3899,2315900
2016-08-30,116.3899,116.7460,115.5166,116.0507,2026600
2016-08-31,115.7794,116.0083,114.9315,115.3555,2837300
2016-09-01,116.0083,116.1440,114.7619,115.0926,2765400
2016-09-02,115.7370,115.9744,115.1096,115.8303,2390500
2016-09-06,115.8388,116.0338,114.9994,115.2877,2242400
2016-09-07,114.9938,115.8115,114.3123,114.9852,2816300
2016-09-08,114.5423,115.5219,114.4912,115.3686,2826700
2016-09-09,114.7467,115.1215,113.8183,113.8183,3322300
2016-09-12,113.0431,115.6071,112.7705,115.4452,3457400
2016-09-13,114.3464,115.1215,113.6053,114.0994,3331500
2016-09-14,114.0312,114.7297,113.2731,113.8779,4592400
2016-09-15,113.3157,115.9222,113.1879,115.5134,3302900
2016-09-16,115.5134,118.0177,115.4452,117.9495,7421900
2016-09-19,118.1284,118.7332,117.1403,117.2766,3239500
2016-09-20,117.6599,118.0007,116.7485,117.0977,2425700
2016-09-21,117.7195,119.2186,117.5406,119.1760,3506600
2016-09-22,119.6702,120.4538,119.5339,120.1387,3018300
2016-09-23,120.1216,120.7690,119.5594,119.6872,2802000
2016-09-26,119.2102,119.3976,118.3158,119.0143,2636500
2016-09-27,119.2442,119.9683,118.1369,119.9257,3048600
2016-09-28,120.2154,120.7094,118.9632,119.6021,1990400
2016-09-29,119.4061,119.4913,117.4129,117.8218,2201000
2016-09-30,118.5543,119.6616,117.9069,119.2528,4164100
2016-10-03,118.6992,119.0143,117.5748,117.9666,2724400
2016-10-04,118.1369,118.7076,116.8336,117.6854,2452600
2016-10-05,117.7281,118.3413,116.3567,117.2085,4625600
2016-10-06,116.9615,117.1148,115.5560,116.2459,4025300
2016-10-07,116.8763,117.1659,115.8285,116.4078,2568700
2016-10-10,116.6718,117.8473,116.6718,117.6173,2586000
2016-10-11,116.9699,117.2851,114.4571,114.7808,3353600
2016-10-12,114.9767,115.6071,113.8353,115.0790,4287900
2016-10-13,114.6956,114.6956,113.8097,114.3038,3425700
2016-10-14,114.8064,115.4282,114.0483,114.0738,3452900
