Date,Open,High,Low,Close,Volume
2016-07-21,60.8303,61.0700,60.5517,60.8044,6854600
2016-07-22,60.9729,61.0895,60.7202,60.9081,7139700
2016-07-25,60.5582,60.6554,59.4503,59.7354,10845900
2016-07-26,59.3661,59.6253,59.0292,59.3013,12143500
2016-07-27,59.2884,59.4827,58.7182,58.8996,10037900
2016-07-28,58.6599,58.7830,58.0574,58.4396,12439200
2016-07-29,56.7616,57.6686,55.7962,57.6298,23928100
2016-08-01,57.0661,57.1114,55.4528,55.6278,22908400
2016-08-02,56.0100,56.5737,55.4464,56.3923,18919200
2016-08-03,56.3729,56.6839,56.1072,56.6839,14632900
2016-08-04,56.6903,56.7875,56.3858,56.6774,13451400
2016-08-05,56.8393,56.9041,56.4635,56.7292,9617300
2016-08-08,57.0467,57.5909,57.0337,57.3965,10492700
2016-08-09,57.4159,57.5067,57.1309,57.4678,9654600
2016-08-10,57.3567,57.4482,56.2002,56.4615,12714800
2016-08-11,56.6445,57.0234,56.3635,56.6641,11616000
2016-08-12,56.8209,57.4874,56.7817,57.4024,9986900
2016-08-15,57.7749,57.8272,57.2652,57.3763,6432600
2016-08-16,57.3894,57.6181,57.0888,57.4482,6817900
2016-08-17,57.4482,57.6181,57.2783,57.5723,7104600
2016-08-18,57.7487,58.1147,57.5789,58.0951,10342700
2016-08-19,57.9121,57.9840,57.3632,57.3698,8615300
2016-08-22,57.0496,57.5658,56.7490,57.4939,8235400
2016-08-23,57.3959,57.5135,57.2130,57.3175,6514800
2016-08-24,57.1738,57.6050,57.0757,57.5135,7985400
2016-08-25,57.5135,57.5201,57.0039,57.1476,6935300
2016-08-26,57.2587,57.5723,56.8470,57.0235,6474400
2016-08-29,56.8732,57.4482,56.8732,57.3959,7027200
2016-08-30,57.4155,57.6638,57.0888,57.1868,6441100
2016-08-31,56.9385,56.9843,56.3374,56.9385,12491400
2016-09-01,56.6641,56.7425,56.2524,56.7425,8434700
2016-09-02,57.1215,57.2260,56.8013,57.1215,7099600
2016-09-06,57.3959,57.9186,57.2783,57.8729,9851200
2016-09-07,57.9252,57.9383,57.4809,57.6573,7470400
2016-09-08,57.8599,58.3957,57.5266,58.1866,9579500
2016-09-09,57.9317,57.9317,56.7164,56.7425,12820200
2016-09-12,56.7033,57.3110,56.6053,57.0365,10889000
2016-09-13,56.4942,56.5007,55.5925,55.6774,13214300
2016-09-14,55.5663,56.0825,55.0632,55.2788,13957000
2016-09-15,55.3246,55.9649,55.2266,55.5925,9062600
2016-09-16,55.2200,55.5729,54.5993,54.9064,21538400
2016-09-19,55.2658,55.2919,54.7627,54.7757,7929100
2016-09-20,54.7104,54.8541,53.9328,53.9328,17522000
2016-09-21,54.1158,54.6385,53.7825,54.4294,15055900
2016-09-22,55.0698,55.2462,54.4817,54.5862,10738500
2016-09-23,54.0243,55.0893,53.9655,54.5274,12667100
2016-09-26,54.5732,55.2135,54.1877,54.2726,10860300
2016-09-27,53.9655,54.4555,53.7695,54.3902,9595000
2016-09-28,54.5339,56.9973,54.4555,56.7817,28117900
2016-09-29,56.8274,56.9777,55.9845,56.4942,19082900
2016-09-30,56.7425,57.3763,56.6184,57.0300,15961500
2016-10-03,56.8078,56.9777,56.5465,56.8797,7111200
2016-10-04,57.0953,57.1738,56.2394,56.3570,8222000
2016-10-05,56.7360,56.9581,56.6510,56.8470,8796200
2016-10-06,57.0104,57.1542,56.4812,56.8732,7718300
2016-10-07,56.8144,57.1084,56.4681,56.6772,6614900
2016-10-10,57.1999,57.9383,57.1803,57.7880,10060000
2016-10-11,57.5527,57.6246,57.0431,57.3306,9309000
2016-10-12,56.9908,57.3175,56.6314,56.9320,8172600
2016-10-13,56.4223,56.7621,55.8212,56.5595,9890300
2016-10-14,56.9712,57.1999,56.5073,56.5465,7991700
2016-10-17,56.5073,56.7098,56.2394,56.5465,7263100
2016-10-18,56.9581,57.0627,56.4419,56.6968,5429300
2016-10-19,56.9712,57.4024,56.7686,56.9581,9373400
2016-10-20,56.7098,57.1738,56.5857,56.9843,6866900
2016-10-21,56.4681,56.7294,55.9976,56.5988,10736200
2016-10-24,56.6772,57.0561,56.2394,56.7882,8354900
2016-10-25,56.6314,57.2717,56.5857,56.6641,6835900
2016-10-26,56.3570,57.1411,56.1610,56.9059,8488100
2016-10-27,57.0300,57.2783,56.7164,56.7948,9071100
2016-10-28,55.7232,56.4289,54.9783,55.3965,19072200
2016-10-31,54.8084,55.1482,54.2269,54.4425,16663800
2016-11-01,54.5601,54.8345,54.4098,54.6581,13050600
2016-11-02,54.4294,54.8084,54.1942,54.5274,11226100
2016-11-03,54.6777,54.8084,54.2661,54.6646,8836500
2016-11-04,54.6450,55.1024,54.0766,54.6058,13877100
2016-11-07,55.2070,55.8473,55.1482,55.8342,13576200
2016-11-08,55.8540,56.5791,55.6958,56.2364,9735200
2016-11-09,55.4058,57.1592,55.1487,56.8560,15901300
2016-11-10,56.6319,58.0030,56.4671,57.3834,14106100
2016-11-11,57.0406,57.1724,55.9595,56.4737,13812200
2016-11-14,56.2298,56.4605,55.5903,56.2166,12607500
2016-11-15,56.5396,57.3900,56.5396,57.2318,12883500
2016-11-16,57.1790,57.2054,56.4144,56.5264,8201200
2016-11-17,56.9813,57.2713,56.0452,56.1836,8200500
2016-11-18,56.1704,56.4605,55.9199,56.2166,8457800
2016-11-21,56.9812,57.1460,56.7835,57.0142,8861500
2016-11-22,57.1461,57.5086,56.6714,57.1395,9390200
2016-11-23,57.0472,57.4031,56.8956,57.2977,5996300
2016-11-25,57.1592,57.4427,57.0472,57.4295,5042300
2016-11-28,57.3174,57.4361,56.9351,57.0010,7449600
2016-11-29,56.3089,56.7439,56.0847,56.6253,9181100
2016-11-30,57.7459,58.1349,57.4823,57.5482,22696200
2016-12-01,57.9964,58.3392,57.5086,57.5086,13005600
2016-12-02,57.4757,58.0030,57.0867,57.3768,9706600
2016-12-05,57.6075,57.8910,57.2977,57.6668,11741100
2016-12-06,57.5284,57.9239,57.1527,57.7196,11293600
2016-12-07,57.7657,58.1085,57.4823,58.0558,11182600
